sent_pos,sent_neg,sent_neu,sent_compound,sent_pos_tokenized,sent_neg_tokenized,sent_neu_tokenized,sent_compound_tokenized
0.15,0.058,0.791,0.9047,0.1576666666666667,0.035333333333333335,0.8068888888888889,0.24163333333333328
0.208,0.0,0.792,0.8746,0.18216666666666667,0.0,0.8178333333333333,0.25715
0.141,0.033,0.826,0.8326,0.15250000000000002,0.042800000000000005,0.8046000000000001,0.23471000000000003
0.395,0.0,0.605,0.8687,0.40549999999999997,0.0,0.5945,0.65585
0.155,0.031,0.814,0.9468,0.12653846153846154,0.019615384615384614,0.8538461538461539,0.16016923076923076
0.048,0.109,0.843,-0.9712,0.042666666666666665,0.07966666666666668,0.8776190476190474,-0.10576666666666666
0.163,0.037,0.799,0.8122,0.16675,0.03875,0.7945,0.29109999999999997
0.164,0.068,0.767,0.7906,0.111,0.07314285714285715,0.815857142857143,0.13187142857142858
0.128,0.057,0.815,0.9559,0.139875,0.023375,0.8368125,0.1610375
0.103,0.09,0.808,0.2228,0.18200000000000002,0.038,0.7799999999999999,0.04779999999999999
0.224,0.056,0.72,0.9282,0.1836,0.047599999999999996,0.7688,0.25148000000000004
0.0,0.055,0.945,-0.7469,0.0,0.028857142857142856,0.9711428571428572,-0.10674285714285714
0.105,0.105,0.79,0.479,0.09888888888888887,0.06511111111111112,0.836,0.038283333333333336
0.217,0.05,0.733,0.8087,0.21100000000000002,0.0715,0.7175,0.268625
0.291,0.108,0.6,0.8573,0.29425,0.1025,0.60325,0.293075
